su ha sa di an || F1 - F21
0.1500 0.5325 0.4675 0.2000 0.2325 || 36 84 32 86 25 72 26 68 24 77 36 101 301 268 106 54.5 57 185 291 129.25 235.25 
0.1675 0.5000 0.4675 0.2825 0.2825 || 31 81 29 86 25 72 26 68 24 77 36 105 302.5 268 106 57 58.5 187 293 129.25 235.25 
0.0675 0.9000 0.1825 0.0825 0.0675 || 30 80 29 84 22 70 22 65 24 77 36 117 302 267.5 106 56 56.5 187.25 293.25 131 237 
0.0325 0.9675 0.0675 0.0175 0.0325 || 30 80 29 84 22 70 22 65 22 93 45 131 302 267.5 111.5 56 56.5 186.25 297.75 130 241.5 
0.0325 0.2675 0.8500 0.0825 0.0325 || 37 83 37 86 20 70 19 63 23 80 37 96 301.5 266.5 107 51.5 51 183 290 131.75 238.75 
0.0675 0.3000 0.7825 0.1675 0.0500 || 39 86 41 90 20 70 22 66 23 81 32 113 302 268 104.5 50.5 50.5 181.5 286 131 235.5 
0.1175 0.1175 0.6325 0.3825 0.1975 || 35 89 37 90 18 70 18 66 23 83 20 119 300.5 268 98.5 51.5 50.5 183.5 282 132.5 231 
0.9325 0.3000 0.1500 0.1175 0.1500 || 42 77 37 80 32 71 35 70 23 83 86 85 301.5 269.5 131.5 55 59 181.75 313.25 124.75 256.25 
0.8325 0.4675 0.1325 0.1175 0.2000 || 42 87 37 84 33 71 34 70 23 83 46 123 298.5 269.5 111.5 55.5 58.5 181.75 293.25 124.75 236.25 
0.9825 0.5000 0.1675 0.1175 0.1500 || 50 84 45 84 36 71 34 70 26 81 85 85 300 269.5 129.5 53 54.5 179.25 308.75 125.5 255 
0.1675 0.1175 0.1500 0.7675 0.8500 || 33 86 23 87 30 74 27 68 26 79 31 97 300.5 267 102.5 58.5 62 189 291.5 128.75 231.25 
0.0825 0.1325 0.2000 0.4825 0.7000 || 34 89 24 95 27 74 23 68 21 79 21 111 303 267 100 56.5 59.5 186 286 128 228 
0.0825 0.2500 0.2175 0.6175 0.8675 || 34 89 29 95 24 74 24 71 22 79 37 93 303 268.5 107.5 55 57.5 185.25 292.75 129 236.5 
0.3000 0.1675 0.4675 0.8825 0.3825 || 29 90 27 94 20 70 17 72 21 79 43 106 302 271 111 55.5 55 186.5 297.5 131.25 242.25 
0.3500 0.1500 0.2825 0.9325 0.5325 || 30 90 23 94 19 70 24 68 21 79 45 100 302 269 112 54.5 60.5 187.25 299.25 129.75 241.75 
0.3325 0.1325 0.4825 0.8675 0.5000 || 28 90 23 94 19 70 24 68 21 79 45 107 302 269 112 55.5 60.5 187.75 299.75 129.75 241.75 
0.1825 0.3000 0.2500 0.3000 0.3500 || 28 87 31 85 29 65 31 61 21 72 45 104 299 268 112 60.5 60 185.75 297.75 125.5 237.5 
0.1825 0.2675 0.2825 0.2825 0.4000 || 28 87 32 88 29 65 31 64 21 71 45 104 300.5 269.5 112 60.5 59.5 185.5 297.5 125.5 237.5 
0.1675 0.2175 0.2175 0.2175 0.4675 || 28 87 32 88 29 65 31 64 21 71 45 104 300.5 269.5 112 60.5 59.5 185.5 297.5 125.5 237.5 
0.0325 0.7500 0.1325 0.0175 0.0175 || 28 83 29 84 27 63 29 59 22 69 45 120 300.5 268 111.5 59.5 60 186.75 298.25 127 238.5 
0.1175 0.7325 0.0825 0.0500 0.0500 || 31 86 31 86 30 63 31 62 22 69 57 117 300 269.5 117.5 59.5 60 185.5 303 125.75 243.25 
0.1325 0.1000 0.7000 0.4675 0.2325 || 28 86 27 91 30 65 30 62 23 72 49 102 302.5 268.5 113 61 61.5 187.75 300.75 126.5 239.5 
0.1825 0.1000 0.6675 0.5000 0.3325 || 28 86 27 91 30 65 30 62 21 72 49 104 302.5 268.5 114 61 61.5 186.75 300.75 125.5 239.5 
0.2325 0.1175 0.6325 0.5500 0.3500 || 28 89 32 91 30 65 28 61 19 76 45 116 301 268 113 61 58 184.5 297.5 125 238 
0.8175 0.2000 0.2500 0.1825 0.2175 || 32 87 32 91 33 65 33 61 19 76 68 99 302 268 124.5 60.5 60.5 183.5 308 123 247.5 
0.9000 0.3825 0.2675 0.2500 0.2325 || 32 87 32 91 33 65 33 61 19 76 71 99 302 268 126 60.5 60.5 183.5 309.5 123 249 
0.8675 0.1325 0.1675 0.1500 0.1775 || 32 87 32 91 33 64 31 61 23 74 69 95 302 268.5 123 60.5 59.5 185.5 308.5 125.5 248.5 
0.1000 0.0675 0.2825 0.5175 0.7825 || 24 87 23 91 33 64 31 61 20 74 53 103 302 268.5 116.5 64.5 64 188.25 304.75 124 240.5 
0.1175 0.2325 0.3175 0.6675 0.8825 || 24 87 23 91 33 64 31 61 20 74 53 103 302 268.5 116.5 64.5 64 188.25 304.75 124 240.5 
0.1825 0.2325 0.2500 0.6175 0.8675 || 24 87 23 91 29 64 31 61 20 72 44 110 302 268.5 112 62.5 64 188.25 300.25 125 237 
0.3175 0.1000 0.3000 0.8675 0.5175 || 24 87 23 91 26 64 27 66 20 72 55 100 302 271 117.5 61 62 188.25 305.75 126.75 244.25 
0.3500 0.1500 0.2675 0.7675 0.7000 || 25 87 25 91 26 64 27 66 21 72 51 99 302 271 115 60.5 61 188 303 127.25 242.25 
0.1500 0.1675 0.4675 0.7175 0.7825 || 25 87 25 91 26 64 27 66 21 72 48 99 302 271 113.5 60.5 61 188 301.5 127.25 240.75 
0.0825 0.6000 0.3175 0.1825 0.1825 || 34 91 29 93 32 64 30 66 23 67 55 96 301 271 116 59 60.5 185.75 301.75 126 242 
0.1000 0.6000 0.2675 0.1675 0.1675 || 31 91 32 95 33 65 33 66 21 69 57 96 302 270.5 118 61 60.5 184.75 302.75 124 242 
0.1000 0.5675 0.3325 0.2175 0.3000 || 31 93 32 95 33 65 33 68 24 70 53 101 301 271.5 114.5 61 60.5 186.25 300.75 125.5 240 
0.0325 0.8825 0.1500 0.0500 0.0325 || 33 97 37 102 29 70 30 72 24 82 43 121 302.5 271 109.5 58 56.5 184.5 294 127.25 236.75 
0.1325 0.8325 0.1500 0.0675 0.0825 || 38 97 37 102 31 70 34 70 24 82 36 121 302.5 270 106 56.5 58.5 183.25 289.25 125.75 231.75 
0.2325 0.8175 0.1500 0.1000 0.1000 || 37 87 39 100 33 70 34 70 24 72 46 124 306.5 270 111 58 57.5 183 294 125.25 236.25 
0.1175 0.3825 0.7175 0.1500 0.1500 || 37 94 41 100 30 70 30 71 28 72 57 89 303 270.5 114.5 56.5 54.5 184.5 299 129 243.5 
0.2500 0.2325 0.4000 0.2175 0.1500 || 37 94 41 100 30 70 30 71 28 73 53 96 303 270.5 112.5 56.5 54.5 184.5 297 129 241.5 
0.1325 0.2000 0.5825 0.2825 0.0675 || 40 95 38 107 32 70 33 71 26 74 56 95 306 270.5 115 56 57.5 183.5 298.5 126.75 241.75 
0.9175 0.3175 0.1175 0.0825 0.0675 || 40 89 38 95 34 70 32 64 27 72 76 90 303 267 124.5 57 57 184 308.5 127 251.5 
0.9000 0.4000 0.1500 0.0825 0.1175 || 40 92 35 95 34 64 33 64 27 72 71 90 301.5 270 122 57 59 184.75 306.75 126.75 248.75 
0.9000 0.5675 0.2000 0.1175 0.1325 || 37 89 35 95 35 64 33 66 27 72 71 90 303 271 122 59 59 185.5 307.5 126.5 248.5 
0.1675 0.3825 0.3675 0.2500 0.2325 || 24 95 26 100 32 67 34 68 27 69 47 107 302.5 270.5 110 64 64 191 301 127 237 
0.2000 0.2675 0.3175 0.3175 0.3325 || 24 95 25 99 29 67 28 71 26 69 47 107 302 272 110.5 62.5 61.5 190.75 301.25 128.75 239.25 
0.1325 0.2000 0.6325 0.7175 0.6500 || 21 95 19 99 29 67 28 71 26 69 47 97 302 272 110.5 64 64.5 193 303.5 128.75 239.25 
0.1175 0.4325 0.4325 0.5000 0.3000 || 24 101 28 102 25 70 26 69 23 68 53 100 300.5 269.5 115 60.5 59 188.5 303.5 128.75 243.75 
0.1675 0.3000 0.1825 0.5175 0.3325 || 24 104 25 83 25 70 31 66 23 74 51 100 289.5 268 114 60.5 63 189.25 303.25 127.5 241.5 
0.1675 0.3675 0.3675 0.1675 0.1500 || 25 104 26 89 33 67 31 66 23 74 44 108 292.5 269.5 110.5 64 62.5 188.75 299.25 125.5 236 
0.1500 0.7000 0.3000 0.1325 0.1825 || 25 104 22 89 29 66 28 62 23 74 42 111 292.5 268 109.5 62 63 189.75 299.25 127.25 236.75 
0.0675 0.6175 0.2825 0.0825 0.0825 || 25 104 22 89 29 66 28 62 20 72 41 106 292.5 268 110.5 62 63 188.25 298.75 125.75 236.25 
0.1825 0.8000 0.1000 0.0325 0.0325 || 29 91 29 87 27 66 28 64 20 76 55 129 298 269 117.5 59 59.5 185.5 303 126.25 243.75 
0.0675 0.7175 0.2325 0.0675 0.1175 || 29 91 29 87 27 66 28 64 20 75 45 125 298 269 112.5 59 59.5 185.5 298 126.25 238.75 
0.0675 0.8675 0.1325 0.0500 0.0500 || 29 91 29 87 27 66 28 68 23 80 57 133 298 271 117 59 59.5 187 304 127.75 244.75 
0.1325 0.2500 0.7500 0.3000 0.1500 || 26 88 27 96 18 73 20 66 20 73 35 126 304 266.5 107.5 56 56.5 186.75 294.25 130.5 238 
0.1175 0.2825 0.8175 0.2825 0.1825 || 21 88 21 96 18 73 20 66 20 68 41 107 304 266.5 110.5 58.5 59.5 189.5 300 130.5 241 
0.0825 0.1000 0.9175 0.2325 0.1325 || 18 88 18 96 16 73 18 66 19 68 37 107 304 266.5 109 59 60 190.5 299.5 131 240 
0.9675 0.5000 0.2325 0.0825 0.0500 || 41 87 47 85 39 66 39 66 32 68 101 90 299 270 134.5 59 56 184 318.5 126.5 261 
0.9825 0.2675 0.1500 0.1675 0.1675 || 39 83 41 81 36 64 37 65 25 68 98 83 299 270.5 136.5 58.5 58 182.5 319 124.25 260.75 
0.9500 0.3175 0.4175 0.1825 0.1825 || 39 87 41 81 36 64 37 65 28 73 99 101 297 270.5 135.5 58.5 58 184 319.5 125.75 261.25 
0.1250 0.0350 0.2500 0.8025 0.6975 || 25 84 22 87 24 64 28 63 19 71 37 113 301.5 269.5 109 59.5 63 187.75 296.75 126.5 235.5 
0.2000 0.2325 0.5325 0.8000 0.6675 || 24 84 22 87 24 64 28 63 18 66 33 111 301.5 269.5 107.5 60 63 187.5 295 126 233.5 
0.3325 0.1325 0.4675 0.7825 0.8175 || 26 89 25 89 24 64 30 62 24 66 32 105 300 269 104 59 62.5 189.25 293.25 128.5 232.5 
0.1325 0.0175 0.3325 0.9325 0.6675 || 21 95 22 89 28 64 26 62 24 66 40 104 297 269 108 63.5 62 191.25 299.25 128.5 236.5 
0.3000 0.0175 0.5000 0.6675 0.2325 || 26 97 31 89 27 67 26 62 24 75 35 112 296 267.5 105.5 60.5 57.5 187.75 293.25 128.75 234.25 
0.2000 0.2000 0.4325 0.8675 0.3000 || 23 97 23 78 21 68 20 62 24 78 42 110 290.5 267 109 59 58.5 190.5 299.5 131.75 240.75 
0.1675 0.2675 0.4325 0.1825 0.2175 || 38 91 36 75 25 67 26 62 24 78 41 96 292 267.5 108.5 53.5 55 183.5 292 129.25 237.75 
0.1825 0.2325 0.3675 0.2675 0.3175 || 38 91 36 75 25 67 24 60 24 78 41 94 292 266.5 108.5 53.5 54 183.5 292 129.75 238.25 
0.1325 0.3175 0.5675 0.3000 0.3175 || 38 91 36 75 25 67 24 60 24 78 41 98 292 266.5 108.5 53.5 54 183.5 292 129.75 238.25 
0.1000 0.6825 0.4000 0.1500 0.1325 || 38 87 36 72 23 67 22 60 24 78 41 108 292.5 266.5 108.5 52.5 53 183.5 292 130.75 239.25 
0.0825 0.7500 0.2825 0.1325 0.1675 || 38 87 36 72 23 67 22 60 24 78 40 108 292.5 266.5 108 52.5 53 183.5 291.5 130.75 238.75 
0.0825 0.7175 0.2325 0.1325 0.1000 || 38 87 36 72 22 67 21 60 24 79 36 116 292.5 266.5 106 52 52.5 183.5 289.5 131.25 237.25 
0.1675 0.1250 0.5325 0.6175 0.4675 || 38 91 36 76 22 67 22 62 24 83 36 104 292.5 267.5 106 52 53 183.5 289.5 131 237 
0.1000 0.1175 0.7500 0.5500 0.4000 || 34 91 33 76 22 67 22 62 24 82 31 102 292.5 267.5 103.5 54 54.5 185.25 288.75 131 234.5 
0.0825 0.1825 0.7500 0.4325 0.4000 || 34 91 33 76 21 67 19 62 24 78 31 102 292.5 267.5 103.5 53.5 53 185.25 288.75 132 235.5 
0.7675 0.3000 0.3825 0.1325 0.1325 || 37 87 34 70 29 69 28 56 24 78 43 91 291.5 263.5 109.5 56 57 184.25 293.75 127.75 237.25 
0.7175 0.1675 0.4325 0.1175 0.1000 || 37 87 34 70 29 69 28 56 26 75 51 83 291.5 263.5 112.5 56 57 185.25 297.75 128.75 241.25 
0.9000 0.2675 0.5825 0.2325 0.2500 || 37 87 34 70 28 63 27 54 26 75 46 87 291.5 265.5 110 55.5 56.5 185.25 295.25 129.25 239.25 
0.1500 0.1175 0.6175 0.6175 0.6825 || 35 85 30 78 25 63 22 64 26 76 34 101 296.5 270.5 104 55 56 186.75 290.75 131.25 235.25 
0.0825 0.0500 0.4000 0.6325 0.6175 || 33 90 25 78 25 63 22 64 26 76 34 101 294 270.5 104 56 58.5 188.5 292.5 131.25 235.25 
0.0725 0.0900 0.3925 0.6250 0.4825 || 33 90 28 78 25 63 22 64 24 76 34 101 294 270.5 105 56 57 186.75 291.75 130.25 235.25 
0.2325 0.1675 0.5175 0.6825 0.4175 || 33 98 30 81 23 66 20 64 24 76 44 97 291.5 269 110 55 55 186.25 296.25 131.25 241.25 
0.1325 0.1175 0.5000 0.8175 0.4000 || 33 98 28 81 20 66 17 64 24 76 42 97 291.5 269 109 53.5 54.5 186.75 295.75 132.75 241.75 
0.1175 0.1000 0.5825 0.8825 0.6000 || 29 98 26 81 20 66 20 64 24 76 42 101 291.5 269 109 55.5 57 188.25 297.25 132 241 
0.5500 0.2000 0.3325 0.2000 0.1500 || 30 85 31 87 28 66 27 64 22 73 36 97 301 269 107 59 58 185.75 292.75 127.25 234.25 
0.3325 0.2500 0.3675 0.2325 0.2825 || 30 85 31 87 27 64 26 64 22 70 36 97 301 270 107 58.5 57.5 185.75 292.75 127.75 234.75 
0.6675 0.2500 0.2325 0.2000 0.2000 || 30 85 31 87 27 64 26 64 22 70 36 97 301 270 107 58.5 57.5 185.75 292.75 127.75 234.75 
0.1325 0.7325 0.2000 0.0825 0.1325 || 23 85 25 87 22 65 24 64 17 76 37 132 301 269.5 110 59.5 59.5 186.5 296.5 127 237 
0.1325 0.8175 0.2675 0.1825 0.1825 || 23 85 25 87 23 67 24 69 19 82 37 132 301 271 109 60 59.5 187.5 296.5 127.75 236.75 
0.2000 0.7500 0.2000 0.0825 0.1325 || 28 85 25 87 23 67 24 69 19 82 37 132 301 271 109 57.5 59.5 186.25 295.25 127.75 236.75 
0.0825 0.0000 0.8500 0.5500 0.3825 || 22 85 22 91 19 67 24 69 17 75 31 100 303 271 107 58.5 61 187.5 294.5 127.75 234.75 
0.1000 0.0500 0.7675 0.6000 0.3175 || 20 85 20 91 17 67 24 69 17 75 28 96 303 271 105.5 58.5 62 188.5 294 128.25 233.75 
0.2000 0.1000 0.8325 0.5675 0.5000 || 24 85 22 98 17 67 24 69 17 75 29 96 306.5 271 106 56.5 61 187 293 128.25 234.25 
0.9175 0.1825 0.5000 0.3000 0.3175 || 33 84 28 89 26 62 30 59 17 70 66 85 302.5 268.5 124.5 56.5 61 183.25 307.75 124.5 249 
0.8500 0.1825 0.2675 0.1500 0.2675 || 33 84 33 95 26 62 30 59 28 70 81 85 305.5 268.5 126.5 56.5 58.5 187.5 314 130 256.5 
0.9000 0.1675 0.2825 0.2325 0.2500 || 34 84 33 95 26 66 30 59 23 71 73 85 305.5 266.5 125 56 58.5 184.75 309.75 127.5 252.5 
0.1175 0.2000 0.7000 0.6175 0.6825 || 24 85 20 87 20 72 22 63 23 79 22 130 301 265.5 99.5 58 61 190.5 290 131 230.5 
0.1500 0.1825 0.7000 0.6825 0.7000 || 24 85 20 87 20 72 22 63 20 75 22 130 301 265.5 101 58 61 189 290 129.5 230.5 
0.0825 0.1325 0.6825 0.6675 0.7000 || 23 84 20 84 21 70 22 64 20 70 37 95 300 267 108.5 59 61 189.25 297.75 129.25 237.75 
0.1825 0.0325 0.5675 0.8500 0.6500 || 23 82 20 87 15 71 18 69 18 73 37 98 302.5 269 109.5 56 59 188.25 297.75 130.75 240.25 
0.2000 0.0675 0.7000 0.9325 0.6675 || 23 82 20 87 15 71 18 69 15 80 37 100 302.5 269 111 56 59 186.75 297.75 129.25 240.25 
0.1825 0.0675 0.6500 0.8000 0.4825 || 23 82 20 93 15 71 18 69 15 81 36 98 305.5 269 110.5 56 59 186.75 297.25 129.25 239.75 
0.1825 0.0500 0.5500 0.7825 0.5825 || 23 82 20 93 16 71 20 69 15 79 38 98 305.5 269 111.5 56.5 60 186.75 298.25 128.5 240 
0.1500 0.4325 0.4825 0.1175 0.1500 || 25 85 25 82 24 66 26 65 19 67 42 98 298.5 269.5 111.5 59.5 60.5 187 298.5 127 238.5 
0.1325 0.3500 0.2000 0.1500 0.1325 || 25 85 25 82 24 66 26 65 19 67 40 98 298.5 269.5 110.5 59.5 60.5 187 297.5 127 237.5 
0.2000 0.4500 0.3325 0.1500 0.1675 || 25 85 25 82 26 66 27 65 19 67 40 98 298.5 269.5 110.5 60.5 61 187 297.5 126.25 236.75 
0.0500 0.7175 0.2175 0.0325 0.0500 || 23 85 25 82 22 66 24 65 19 70 37 117 298.5 269.5 109 59.5 59.5 187.5 296.5 128 237 
0.0500 0.7175 0.2825 0.0675 0.0675 || 23 85 25 82 23 73 22 69 19 70 51 115 298.5 268 116 60 58.5 187.5 303.5 128.25 244.25 
0.0675 0.8825 0.2825 0.1175 0.1000 || 24 85 22 82 19 68 22 69 19 70 38 115 298.5 270.5 109.5 57.5 60 188 297.5 129.25 238.75 
0.1000 0.2325 0.6175 0.3325 0.1000 || 31 85 20 82 23 68 23 69 18 71 45 98 298.5 270.5 113.5 56 61.5 186.25 299.75 127.5 241 
0.0825 0.0675 0.7325 0.3325 0.1675 || 24 85 19 82 23 68 21 69 19 71 36 98 298.5 270.5 108.5 59.5 61 188.75 297.25 128.5 237 
0.1325 0.1000 0.7175 0.3500 0.2000 || 24 85 19 82 23 68 21 69 19 71 36 95 298.5 270.5 108.5 59.5 61 188.75 297.25 128.5 237 
0.9325 0.2325 0.4825 0.5175 0.2500 || 34 79 27 82 30 67 31 69 19 69 61 87 301.5 271 121 58 62 184.25 305.25 124.25 245.25 
0.8175 0.2325 0.4325 0.1500 0.2175 || 34 79 27 82 30 67 31 69 19 69 61 87 301.5 271 121 58 62 184.25 305.25 124.25 245.25
0.1325 0.1825 0.3175 0.6500 0.8325 || 33 89 34 87 26 61 28 64 19 65 34 105 299 271.5 107.5 56.5 57 182.75 290.25 126 233.5  
0.1500 0.2675 0.4175 0.6175 0.8000 || 33 89 34 87 26 61 28 64 19 65 34 105 299 271.5 107.5 56.5 57 182.75 290.25 126 233.5 
0.2000 0.1500 0.5325 0.7000 0.7675 || 24 85 24 82 26 67 25 63 25 67 44 97 298.5 268 109.5 61 60.5 190.5 300 129.75 239.25 
0.1000 0.0825 0.4325 0.6000 0.5675 || 31 87 32 82 27 73 25 65 25 67 44 97 297.5 266 109.5 58 56.5 186.75 296.25 129.5 239 
0.1175 0.0500 0.4175 0.7325 0.7175 || 23 87 24 82 27 73 25 65 25 67 20 104 297.5 266 97.5 62 60.5 190.75 288.25 129.5 227 
0.4500 0.1675 0.1825 0.9675 0.6000 || 23 83 22 91 19 69 17 78 20 71 57 95 304 274.5 118.5 58 57.5 188.75 307.25 131 249.5 
0.3500 0.2825 0.3175 0.9000 0.5825 || 23 83 22 91 19 69 17 78 20 71 51 101 304 274.5 115.5 58 57.5 188.75 304.25 131 246.5 
0.2175 0.0500 0.4000 0.8325 0.4675 || 23 83 22 91 19 69 17 78 20 71 51 100 304 274.5 115.5 58 57.5 188.75 304.25 131 246.5 
0.2000 0.3500 0.2175 0.2175 0.3175 || 27 83 31 91 28 63 26 61 24 70 37 108 304 269 106.5 60.5 57.5 187.5 294 128.5 235 
0.1325 0.5000 0.4825 0.2325 0.3825 || 27 83 26 91 28 63 28 61 24 70 39 108 304 269 107.5 60.5 61 188.75 296.25 128 235.5 
0.1000 0.6175 0.2825 0.1675 0.1675 || 31 83 30 91 28 63 28 61 24 70 39 108 304 269 107.5 58.5 59 186.75 294.25 128 235.5 
0.0500 0.8675 0.0500 0.0175 0.0325 || 29 83 27 88 22 68 23 69 25 82 60 145 302.5 270.5 117.5 56.5 58 188.5 306 131.25 248.75 
0.0325 0.9000 0.0175 0.0325 0.0325 || 29 83 30 88 22 68 23 69 25 78 53 140 302.5 270.5 114 56.5 56.5 187.75 301.75 131.25 245.25 
0.1000 0.9325 0.2175 0.1175 0.1500 || 29 83 30 88 22 68 21 69 25 78 53 140 302.5 270.5 114 56.5 55.5 187.75 301.75 131.75 245.75 
0.1000 0.2500 0.7675 0.3675 0.3675 || 31 83 27 83 29 65 30 67 23 68 42 110 300 271 109.5 59 61.5 187 296.5 126.75 236.25 
0.0500 0.0675 0.5175 0.6825 0.5675 || 26 82 23 83 23 65 26 64 20 61 38 103 300.5 269.5 109 58.5 61.5 187.75 296.75 127.75 236.75 
